,deg_1_lob,ne_1_lob,deg_2_lob,ne_2_lob,deg_3_lob,ne_3_lob,deg_4_lob,ne_4_lob,deg_5_lob,ne_5_lob,deg_7_lob,ne_7_lob,deg_8_lob,ne_8_lob,deg_10_lob,ne_10_lob,deg_11_lob,ne_11_lob,deg_12_lob,ne_12_lob,deg_13_lob,ne_13_lob,deg_14_lob,ne_14_lob,id
38,719.1189811,113.9321275,959.3224467,244.9228199,3412.568924,1380.833152,2454.236819,582.2771224,426.713432,203.6865985,678.4246265,173.5506764,1233.516157,307.5197985,593.9729562,281.3199373,2218.676135,508.5276995,2160.412384,883.7853682,1136.682277,359.9783041,498.7252652,65.72272098,3
39,1759.981947,315.275135,1248.853033,450.9120671,5475.604288,2067.178485,2161.549637,458.6898681,294.8139109,139.6277846,825.8279092,215.4681725,914.1861596,230.7334286,415.6803074,198.5387687,2433.102847,540.9547818,1759.367201,628.2983585,953.9628859,242.2931641,1991.682768,338.4714092,3
40,2640.569422,460.4281239,8436.950314,2563.851605,5883.782594,2212.150707,5915.602387,1198.261566,421.1783931,196.1262766,1424.800848,377.4593166,1295.681735,308.9254898,377.5305492,180.0582692,4816.283294,1100.981541,5524.612628,2116.848894,9696.301986,3163.746255,2510.459298,410.8469558,3
41,2786.673607,495.9929804,3907.616377,1237.981083,3731.787007,1484.822259,2168.745553,491.547456,475.431289,225.8270582,1165.994791,291.4890089,1096.192549,272.1845488,365.801223,175.2486325,1675.531906,375.06612,3886.46802,1585.135689,3384.033133,1100.965181,2902.776096,509.3805495,3
42,2057.415747,346.6420119,3778.914722,1253.424425,792.7633652,315.5856393,2451.382479,564.068131,252.859854,104.1288994,770.4393178,196.4663454,1106.628268,251.7728205,12.20149749,5.716328391,620.0645782,114.7127731,2562.638497,917.2091796,2712.559046,859.3172102,1606.027385,264.2764067,3
43,1547.859203,251.8882245,1845.009819,613.5615869,4926.385026,1936.360153,1256.21043,255.5453814,137.3637672,66.13705525,445.2563682,108.7828198,524.9113281,134.9388334,176.0686809,84.29954625,2501.78003,528.2241385,5179.292214,2103.481507,3240.512405,1082.482667,1727.153767,306.5955114,4
44,1820.900906,313.3564157,3192.655055,1065.695721,4519.348893,1680.497657,1791.479267,389.8638923,234.0747489,111.0224306,460.6208105,108.3048338,714.1250447,178.04734,339.1933248,157.4960171,1567.220024,303.2106044,4887.075902,1870.056459,5449.884191,1821.469323,1865.20081,317.1422105,4
45,1064.407603,183.067173,3031.172035,981.423581,7228.691206,2946.497221,1796.691835,400.3389853,142.4902185,65.73226917,520.1729448,119.9110076,463.4898269,110.6271521,190.2970944,87.69524149,2385.501158,522.4901847,5363.915448,2412.580865,4252.891216,1425.865367,1711.571132,313.5995707,4
46,1089.738316,189.1571895,2190.14239,744.2143433,5748.799137,2349.035219,1929.617287,425.9583682,154.4013103,66.20640711,451.1311479,109.9025886,604.7816791,138.0902331,226.0805231,98.15968347,2517.089488,518.8752999,6866.45987,2951.001224,4402.858558,1603.916348,1795.562631,324.5286013,4
47,1807.88742,312.3078096,2395.491647,813.1510485,3813.893791,1635.728207,1423.460192,323.2168173,218.4339807,101.8359287,472.5586293,109.8624173,377.1971215,86.89761008,207.2933552,97.26367914,1532.758093,357.0555305,3503.80016,1439.119231,2411.848164,825.6727645,1505.381311,259.197417,4
48,1494.629315,248.2374629,2850.330152,959.3367418,5922.895327,2297.566156,3375.942425,714.5717618,111.9522649,51.66555055,492.4147394,119.1082353,506.7384532,118.0258424,128.7100273,60.46196742,3154.106812,692.7101404,4283.358128,1670.345021,3021.734633,948.5838538,1718.901607,313.5900685,4
49,2300.337493,412.6959727,1904.912405,649.6111553,3506.610859,1352.885468,1590.939058,344.6142568,318.7749156,148.2983918,482.8807891,113.8674716,568.0001041,133.8102667,302.5370778,145.1352631,1991.32805,422.1080312,3598.446199,1461.047878,2273.473135,784.2221466,1965.913343,342.7096913,4
50,1943.584836,321.2975425,5722.755246,1882.225802,7299.293047,3042.386629,3834.402621,838.8589673,172.188292,76.57146808,652.5380561,152.0867727,526.1299752,120.2944825,208.0462488,94.27122701,2814.172038,637.983097,8539.689029,3654.702053,6861.067544,2039.992803,1376.045628,237.6783617,4
51,1629.228816,271.5576346,2579.985725,879.6257681,4655.636295,1833.999177,1466.915111,336.9033475,158.1333128,72.13819957,394.707482,96.37905004,408.113817,94.27465401,202.2930854,92.54492402,1549.493532,383.322204,5019.324402,1942.045073,3215.96763,1011.280387,1615.060597,288.9600046,4
52,1180.888338,204.0034004,2632.789845,920.4776906,3642.33335,1214.111117,2239.474575,468.888359,159.585495,66.92710665,427.4334061,106.4924073,444.5936058,110.0796854,89.56013244,39.46027193,2890.95301,629.7397062,4210.691591,1527.424426,3670.782152,1357.820437,1758.841682,293.447794,4
53,1102.826432,188.3054597,2828.737723,972.3643812,5216.542805,2125.13527,1574.837176,341.1090843,121.5306016,51.51752187,445.8203605,115.0738659,463.7493958,110.9237079,148.1245649,70.63801392,1813.84618,387.6268564,6677.663933,2701.540018,3011.422605,1029.652216,1361.520155,235.8378966,4
